number,classNumber,className,numberInClass,1 varianceOnMask,2 varianceWholeImage,3 varianceWholeImageRed,4 varianceWholeImageGreen,5 varianceWholeImageBlue,6 meanOnMask,7 meanWholeImage,8 meanWholeImageRed,9 meanWholeImageGreen,10 meanWholeImageBlue,11 warRedOnMask,12 warGreenOnMask,13 warBlueOnMask,14 meanOnMaskRed,15 meanOnMaskGreen,16 meanOnMaskBlue,17 kurthosisGrayWholeImage,18 kurthosisGrayOnMask,19 kurthosisRedWholeImage,20 kurthosisGreenWholeImage,21 kurthosisBlueWholeImage,22 kurthosisRedOnMask,23 kurthosisGreenOnMask,24 kurthosisBlueOnMask,25 skewnessGrayWholeImage,26 skewnessGrayOnMask,27 skewnessRedWholeImage,28 skewnessGreenWholeImage,29 skewnessBlueWholeImage,30 skewnessRedOnMask,31 skewnessGreenOnMask,32 skewnessBlueOnMask
36,2,E7,14,0.47152,0.68236,0.63349,0.59916,0.51968,-0.8486,0.48077,0.47441,0.48328,0.48535,0.31775,0.51967,0.017945,-0.77925,-0.87911,-0.60552,-0.94819,-0.99889,-0.92662,-0.98167,-0.97771,-0.89533,-0.99558,-0.98842,-0.045361,-0.3388,-0.13284,0.37773,0.14429,-0.23436,0.20377,0.15178
37,2,E7,15,0.32098,0.57163,0.20583,0.65958,0.40475,-0.53193,0.82916,0.84961,0.81524,0.84898,-0.11932,0.58591,-0.24473,-0.29448,-0.65165,-0.32316,-0.95296,-0.99465,-0.9401,-0.98224,-0.97961,-0.86249,-0.9881,-0.97111,-0.049801,-0.32044,-0.090789,0.3639,0.14764,-0.23816,0.22238,0.10609
38,2,E7,16,0.20854,0.49001,0.16168,0.56526,0.33829,-0.74274,0.47714,0.48804,0.4687,0.49319,-0.15793,0.44171,-0.29034,-0.52559,-0.84857,-0.51985,-0.95609,-0.99595,-0.94196,-0.98369,-0.98133,-0.81393,-0.99189,-0.9763,-0.040629,-0.31841,-0.083506,0.3726,0.15318,-0.187,0.2267,0.12358
39,2,E7,17,0.54175,0.71132,0.55313,0.66875,0.52781,-0.85098,0.46884,0.46747,0.46744,0.4806,0.21926,0.6465,-0.058485,-0.73876,-0.90219,-0.61443,-0.94924,-0.99958,-0.92992,-0.98193,-0.97849,-0.88675,-0.9989,-0.98938,-0.049836,-0.32493,-0.12921,0.37289,0.14249,-0.23066,0.21659,0.14456
40,2,E7,18,0.51495,0.70238,0.51317,0.67997,0.53491,-0.84852,0.46876,0.46965,0.46669,0.47794,0.18479,0.64577,-0.038231,-0.71798,-0.9087,-0.61466,-0.94977,-1,-0.93136,-0.98206,-0.97881,-0.88201,-0.99991,-0.98933,-0.050364,-0.32379,-0.12552,0.37195,0.14203,-0.22357,0.21814,0.15075
41,2,E7,19,0.45038,0.66728,0.83147,0.4983,0.49103,-0.76047,0.46317,0.4409,0.47445,0.46443,0.55593,0.37832,0.057221,-0.78971,-0.74332,-0.51475,-0.95952,-0.99714,-0.93403,-0.98587,-0.98144,-0.92925,-0.98747,-0.98724,-0.0021239,-0.34333,-0.11268,0.41096,0.16857,-0.29092,0.19141,0.14801
42,2,E7,20,0.5519,0.81548,0.82645,0.69988,0.63726,-0.81611,0.45379,0.44148,0.45992,0.45539,0.45609,0.56451,0.077443,-0.77766,-0.83078,-0.57719,-0.96161,-0.99815,-0.94246,-0.98652,-0.98302,-0.92368,-0.99532,-0.99027,-0.0041316,-0.33412,-0.097467,0.40605,0.16802,-0.27426,0.20655,0.15216
43,2,E7,21,0.58084,0.8908,0.73676,0.83724,0.69216,-0.83261,0.45241,0.45145,0.4519,0.45846,0.28176,0.66639,-0.0055148,-0.7285,-0.87942,-0.59961,-0.96448,-0.99803,-0.95042,-0.98753,-0.9848,-0.90432,-0.99744,-0.98948,-0.0036937,-0.32104,-0.080903,0.4041,0.17087,-0.24863,0.21946,0.15112
44,2,E7,22,0.57039,0.96108,0.64315,1,0.77515,-0.61677,0.79136,0.80752,0.78148,0.80125,0.17381,0.7895,0.0012531,-0.4281,-0.71019,-0.40121,-0.96607,-0.99592,-0.9562,-0.98756,-0.9856,-0.91393,-0.9936,-0.98342,-0.0066396,-0.31915,-0.066293,0.39624,0.1716,-0.26399,0.22443,0.14482
45,2,E7,23,0.47412,0.8361,0.60883,0.83162,0.67308,-0.83016,0.45556,0.46396,0.45099,0.45788,0.15925,0.62521,-0.031671,-0.68015,-0.89962,-0.60269,-0.96419,-0.99729,-0.95229,-0.98714,-0.98495,-0.88993,-0.9966,-0.98746,-0.0030955,-0.32232,-0.068732,0.40163,0.17404,-0.23175,0.22089,0.15345
46,2,E7,24,0.52131,0.85383,0.64753,0.82557,0.65889,-0.84689,0.45492,0.46148,0.45078,0.45993,0.18459,0.63217,-0.057379,-0.71569,-0.90716,-0.61441,-0.96229,-0.99705,-0.94802,-0.9867,-0.98412,-0.88521,-0.99666,-0.98741,-0.015433,-0.31619,-0.089508,0.39593,0.16506,-0.23003,0.22272,0.1528
47,2,E7,25,0.64874,0.94164,1,0.78761,0.71791,-0.62354,0.79068,0.78153,0.79468,0.79524,0.5629,0.61293,0.08262,-0.60811,-0.63023,-0.39367,-0.96076,-0.99732,-0.9394,-0.98622,-0.9824,-0.94477,-0.99083,-0.98817,-0.015777,-0.34009,-0.11927,0.39917,0.16145,-0.31321,0.19637,0.13944
48,3,x5,1,-0.12115,-0.39358,-0.21198,-0.51148,-0.50699,-0.35578,0.53034,0.52076,0.53594,0.52548,-0.044794,-0.22121,-0.47662,-0.46066,-0.3024,-0.15475,-0.88318,-0.98195,-0.82559,-0.94791,-0.93282,-0.82517,-0.87,-0.92056,-0.19061,-0.4861,-0.28855,0.26766,0.021021,-0.31155,0.011042,-0.044
