number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
34,2,E7,12,-0.57926,-0.93243,-0.79955,-0.5303,-0.8827,-0.28138,-0.65252,-0.46358,0.63324,-0.7394,0.72661,0.84547,0.71429,0.80645,0.69231,0.63889,0.32075,0.54545,-0.95714,-0.87078,-0.93823,-0.99648,-0.99348,-0.99102,-0.99805,-0.88476,-0.97318
35,2,E7,13,-0.57201,-0.79694,-0.74791,-0.69384,-0.71562,-0.63367,-0.65252,-0.4319,0.75788,-0.72359,0.80836,0.82764,0.89286,0.89677,0.71154,0.77778,0.81132,0.81818,-0.94859,-0.86048,-0.90831,-0.99576,-0.99259,-1,-0.99886,-0.90679,-0.94577
36,2,E7,14,-0.57851,-0.88471,-0.67692,0.13368,-0.5339,-0.085963,-0.64456,-0.4285,0.76862,-0.72539,0.79837,0.89302,0.87143,0.87097,0.75,0.80556,0.81132,0.81818,-0.95424,-0.86407,-0.89077,-0.99531,-0.99212,-0.99858,-0.98538,-0.94194,-0.94778
37,2,E7,15,-0.52126,-0.97624,-0.87097,-0.47781,-0.84397,-0.57082,-0.62865,-0.40663,0.70272,-0.7216,0.78565,0.83061,0.91429,0.96129,0.90385,0.75,0.73585,0.72727,-0.88071,-0.8188,-0.98045,-0.98979,-0.9914,-0.96529,-0.97445,-0.96089,-0.93473
38,2,E7,16,-0.49435,-0.97925,-0.89541,-0.23647,-1,-1,-0.61538,-0.39303,0.70917,-0.72077,0.80654,0.82467,0.91429,0.81935,0.78846,0.80556,0.54717,0.77273,-0.85087,-0.93575,-0.92225,-0.98735,-0.98933,-0.99259,-0.98805,-0.85749,-0.87506
39,2,E7,17,-0.51156,-0.97308,-0.56542,-0.18484,-0.41465,-0.52592,-0.62334,-0.41009,0.66189,-0.72553,0.75114,0.86033,0.94286,0.87097,0.90385,0.88889,0.62264,0.95455,-0.93048,-0.92407,-0.92172,-0.99856,-0.99289,-0.93624,-0.99209,-0.90053,-0.97556
40,2,E7,18,-0.51764,-0.97462,-0.71557,-0.35021,-0.58972,-0.16976,-0.61538,-0.40936,0.65831,-0.72851,0.75386,0.83655,0.89286,0.84516,0.73077,0.77778,0.54717,0.81818,-0.99757,-0.91939,-0.97014,-0.99983,-0.99987,-0.98752,-0.92303,-0.92816,-0.90866
41,2,E7,19,-0.44059,-1,-0.43213,0.40647,-0.39578,-0.50924,-0.55438,-0.35644,0.64971,-0.72864,0.77929,0.82764,0.87143,0.84516,0.84615,0.72222,0.77358,0.77273,-0.96987,-0.84166,-0.96331,-0.99535,-0.98861,-0.97628,-0.99771,-0.76957,-0.85855
42,2,E7,20,-0.45131,-0.92685,-0.75142,-0.32061,-0.7728,-0.64483,-0.57825,-0.34677,0.7192,-0.71488,0.80654,0.85438,0.88571,1,0.88462,0.88889,0.73585,0.68182,-0.82852,-0.79368,-0.86164,-0.99293,-0.98178,-0.99681,-0.99214,-0.73401,-0.94298
43,2,E7,21,-0.48968,-0.9871,-0.84715,-0.34455,-0.82705,-0.57136,-0.60212,-0.33158,0.81877,-0.69768,0.88374,0.89302,0.82857,0.93548,0.86538,0.86111,0.81132,0.59091,-0.95852,-0.82824,-0.85542,-0.99749,-0.98923,-0.98241,-0.98428,-0.90673,-1
44,2,E7,22,-0.54389,-0.92313,-0.81748,-0.45574,-0.83973,-0.52449,-0.62865,-0.33573,0.88825,-0.68739,0.93279,0.89302,0.93571,0.70323,0.71154,1,1,0.90909,-0.93524,-0.97402,-0.96005,-0.99564,-0.99423,-0.98277,-0.82019,-0.86655,-0.88021
45,2,E7,23,-0.50614,-0.96152,-0.69771,-0.8345,-0.70327,-0.19472,-0.61273,-0.34908,0.83668,-0.70113,0.85649,0.92273,0.95714,0.84516,0.82692,0.63889,0.43396,0.45455,-0.9648,-0.83589,-0.91795,-0.99245,-0.99106,-0.987,-0.98843,-0.92451,-0.95281
