number,classNumber,className,numberInClass,1 meanBacteriaarcLength,2 meanBacteriaWholeCurvature,3 minrolcorPointAndMidP10B10,4 minrolcorPointsP10B10,5 minrolcoranglespointpointmiddleP10B10,6 minrolcoranglespointmiddlepointP10B10,7 medianOfTheObjectsSize,8 howMuchWhiteInMaskPercent,9 howManyObjects,10 howManyBacterias,11 meanShiftr25,12 meanShiftr50,13 meanShiftr75,14 meanShiftr100,15 meanShiftr125,16 meanShiftr150,17 meanShiftr175,18 meanShiftr200,19 NewKmeansAndVariance2DForK3,20 NewKmeansAndVariance2DForK6,21 NewKmeansAndVariance2DForK10,22 NewKmeansAndVariance3DForK3,23 NewKmeansAndVariance3DForK6,24 NewKmeansAndVariance3DForK10,25 NewKmeansAndVariance2DForK3weighted,26 NewKmeansAndVariance2DForK6weighted,27 NewKmeansAndVariance2DForK10weighted
11,1,Pi,11,91.65332457,10.16187444,0.4918834796,0.9882940409,0.7291844499,0.6111514081,434,0.1213739014,410,1374.601382,348,236,165,118,93,66,53,36,3835.419367,4529.6622,10456.57244,28040.95978,43847.56026,36507.13298,1191.624577,5001.996619,7636.553275
12,1,Pi,12,101.4595588,10.10851267,0.3116585628,1.334842977,0.411352077,0.4227120001,501,0.06580240885,330,645.5728543,298,195,125,93,70,47,37,32,1416.407019,4591.750673,5975.987852,24986.17908,35632.25622,101318.9736,1601.253786,4265.791832,4847.874245
13,1,Pi,13,106.7000116,10.16645035,0.3568061652,1.257708144,0.5104048695,0.4933518611,526.5,0.07147664388,310,667.2782526,281,188,129,96,67,50,39,33,7952.75255,10222.28684,6050.548576,63973.94589,95893.45416,173017.103,785.5850865,5196.560077,3979.272871
14,1,Pi,14,106.4906097,10.10350273,0.3297978926,1.186186087,0.5644287984,0.3411507836,552,0.1131081136,421,1007.153986,395,287,191,125,88,71,48,39,4791.859462,7554.782935,5820.696101,7884.311831,17335.70987,50157.58289,98.04579112,4859.623172,6283.405953
15,1,Pi,15,106.4418216,9.954504393,0.2041938386,1.084225845,0.3458058705,0.3476866871,600.5,0.05007222493,286,409.8501249,269,199,140,106,73,56,38,38,1385.515032,6505.743773,5837.305194,20308.96589,5715.062296,20985.89867,640.4154577,1281.035097,1963.791023
16,1,Pi,16,94.98356813,10.04173834,0.1217736144,1.322350263,0.1948727061,0.3724231371,466.5,0.04010294596,266,422.5380493,255,188,149,112,77,58,45,37,3668.884076,6600.287443,25711.08292,499.1577812,68745.47458,25234.54789,603.3243962,6795.957624,15061.55924
17,1,Pi,17,107.6003403,10.29181532,0.519116226,1.294232021,0.6440984661,0.5050761063,546.5,0.2591361491,368,2330.660567,348,273,188,126,99,73,53,44,3427.090019,7950.208812,10796.00392,1545.017831,23389.78384,24910.49118,221.8864565,2589.082423,1392.817608
18,1,Pi,18,106.661802,9.995441172,0.3512142054,1.321914343,0.5918819924,0.4812787869,579.5,0.2393058268,330,2029.742882,319,256,181,132,95,68,57,40,2788.843503,4327.587942,5358.552588,1342.875218,23685.00208,27194.03454,327.9188979,1613.726794,1528.192711
19,1,Pi,19,106.3259511,9.90585108,0.4703503534,1.12951686,0.5747083359,0.4560885899,596.5,0.1768674723,382,1457.399832,362,284,192,137,102,73,56,45,5292.783001,8754.929186,4716.863592,103210.1538,5105.053554,11619.0725,137.8361418,3561.341821,1115.758454
20,1,Pi,20,89.56128955,10.00115717,0.2589720688,1.265300159,0.5511783279,0.4892107849,416.5,0.1837461344,456,2168.42497,409,292,183,130,88,70,53,37,368.34301,3191.881064,4882.897769,1613.79452,29997.86073,90739.21615,124.0079525,836.986529,535.8526817
